,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51
1020.176,0.53692084,0.53621104,0.53619452,0.53668656,0.53742253,0.53838765,0.53875891,0.53967909,0.54116794,0.5422133,0.5437097,0.54507483,0.54692695,0.54795396,0.54947258,0.55195376,0.55483893,0.55784608,0.56137594,0.56469844,0.56836809,0.57403603,0.57912367,0.58541114,0.59157078,0.59829787,0.60504802,0.6113024,0.61585326,0.6166061,0.61198404,0.60644667,0.59988648,0.59140822,0.58381776,0.57504984,0.56644363,0.55727508,0.54708449,0.5374306,0.52657902,0.51598578,0.50535383,0.49483717,0.48573692,0.47864088,0.47395879,0.47058326,0.4681164,0.46772274,0.46775172
1022.104,0.54600594,0.54508074,0.54510352,0.54529296,0.54596083,0.54673855,0.54694961,0.54773289,0.54905734,0.5498312,0.5510831,0.55246153,0.55409095,0.55522556,0.55659108,0.55908486,0.56172313,0.56469998,0.56848794,0.57170414,0.57541579,0.58125733,0.58603097,0.59258584,0.59891198,0.60572437,0.61253002,0.6186018,0.62337086,0.6238319,0.61890374,0.61257087,0.60567718,0.59654122,0.58860946,0.57926154,0.57004003,0.56036998,0.54981059,0.5397061,0.52859832,0.51746138,0.50654353,0.49575617,0.48631572,0.47910818,0.47415149,0.47060356,0.4678102,0.46729864,0.46707702
1024.033,0.55310834,0.55227554,0.55209322,0.55226586,0.55290333,0.55357165,0.55366721,0.55443169,0.55562414,0.556527,0.5576854,0.55897023,0.56055195,0.56159276,0.56302738,0.56531596,0.56810633,0.57117378,0.57482694,0.57806964,0.58190879,0.58782873,0.59287427,0.59944694,0.60580568,0.61279477,0.61976512,0.6262763,0.63099776,0.6311094,0.62571784,0.61880527,0.61148428,0.60174942,0.59319446,0.58331034,0.57351043,0.56339308,0.55236249,0.5416905,0.53004072,0.51868878,0.50754113,0.49627907,0.48658032,0.47898588,0.47355059,0.46986066,0.466882,0.46596464,0.46564382
1025.961,0.55950984,0.55876244,0.55861212,0.55874826,0.55943493,0.55979225,0.55990101,0.56061529,0.56168334,0.5625387,0.5637358,0.56503523,0.56653835,0.56758776,0.56902438,0.57124796,0.57423563,0.57741048,0.58114914,0.58455284,0.58846019,0.59455323,0.59959187,0.60628364,0.61266988,0.61983297,0.62695972,0.6336256,0.63819966,0.6380372,0.63227324,0.62457457,0.61685818,0.60663752,0.59737016,0.58689514,0.57679903,0.56601108,0.55438459,0.5432971,0.53133102,0.51948088,0.50788253,0.49641747,0.48643802,0.47855288,0.47294709,0.46889496,0.4657211,0.46448664,0.46400672
1027.89,0.56599044,0.56532524,0.56508662,0.56544866,0.56590473,0.56652205,0.56656621,0.56729539,0.56828284,0.5690471,0.5701426,0.57154243,0.57304365,0.57405376,0.57540988,0.57773626,0.58059643,0.58387118,0.58772314,0.59112874,0.59521069,0.60113973,0.60620697,0.61303934,0.61972598,0.62678847,0.63393762,0.6407572,0.64535116,0.6450992,0.63862474,0.63057347,0.62220818,0.61128722,0.60151136,0.59042734,0.57966353,0.56832948,0.55617399,0.5446691,0.53225422,0.52018208,0.50824423,0.49642827,0.48625252,0.47807118,0.47233049,0.46810236,0.4649766,0.46358794,0.46311152
1029.818,0.57252314,0.57182814,0.57184712,0.57208466,0.57261983,0.57318225,0.57328881,0.57418989,0.57522144,0.5759215,0.577032,0.57836463,0.57993435,0.58092776,0.58242368,0.58471816,0.58773013,0.59080708,0.59471644,0.59821534,0.60235939,0.60815493,0.61343477,0.62030044,0.62691248,0.63417307,0.64155822,0.64819,0.65281766,0.6520561,0.64520334,0.63638827,0.62725788,0.61572412,0.60516496,0.59363044,0.58217553,0.57051238,0.55779689,0.5458249,0.53333342,0.52083718,0.50874873,0.49669467,0.48643262,0.47812588,0.47235289,0.46811726,0.4646484,0.46323804,0.46257832
1031.747,0.57957954,0.57920134,0.57918012,0.57949796,0.57996923,0.58050895,0.58038141,0.58137379,0.58235414,0.5831397,0.5843057,0.58561623,0.58722935,0.58812106,0.58970828,0.59180206,0.59486883,0.59817548,0.60194304,0.60556744,0.60963159,0.61557463,0.62089417,0.62757814,0.63439118,0.64174127,0.64908992,0.6557489,0.66025496,0.6589289,0.65128984,0.64204957,0.63220378,0.62026442,0.60906346,0.59671224,0.58489513,0.57265218,0.55954379,0.5473456,0.53429362,0.52170708,0.50927503,0.49713577,0.48683152,0.47833008,0.47253459,0.46821956,0.4646724,0.46325054,0.46262982
1033.675,0.58801274,0.58767854,0.58779522,0.58810386,0.58849653,0.58893025,0.58880201,0.58968399,0.59071484,0.5914328,0.5925562,0.59384153,0.59519985,0.59615096,0.59776918,0.59985946,0.60291683,0.60598338,0.60992704,0.61342984,0.61745109,0.62338213,0.62867277,0.63534034,0.64214618,0.64947917,0.65664252,0.6634474,0.66774656,0.6660606,0.65755054,0.64770237,0.63728108,0.62447362,0.61275366,0.59984074,0.58737193,0.57465638,0.56107969,0.5485938,0.53513822,0.52240248,0.50982793,0.49769627,0.48732452,0.47879608,0.47287419,0.46849296,0.4650168,0.46369794,0.46298632
1035.604,0.59699234,0.59660734,0.59669992,0.59704276,0.59745093,0.59793225,0.59805841,0.59855749,0.59964144,0.6001853,0.6013724,0.60252963,0.60403135,0.60485026,0.60637728,0.60839086,0.61145753,0.61454448,0.61850274,0.62176504,0.62590249,0.63177023,0.63693717,0.64363654,0.65041678,0.65763717,0.66501392,0.6715496,0.67570736,0.6735771,0.66444114,0.65381287,0.64251008,0.62910192,0.61680576,0.60333834,0.59007693,0.57683638,0.56296069,0.5499652,0.53645732,0.52338058,0.51061753,0.49848087,0.48798952,0.47946708,0.47344929,0.46909576,0.4655643,0.46426494,0.46364872
1037.532,0.60639234,0.60604044,0.60615392,0.60633946,0.60672283,0.60716495,0.60716641,0.60748959,0.60842634,0.608945,0.6101655,0.61136473,0.61257955,0.61358306,0.61492918,0.61693046,0.61985443,0.62299168,0.62686414,0.63018314,0.63419189,0.64016483,0.64519997,0.65192024,0.65840148,0.66584407,0.67308332,0.6799798,0.68358336,0.6809299,0.67127214,0.65987087,0.64790318,0.63387702,0.62081316,0.60666784,0.59308473,0.57931068,0.56486639,0.5516571,0.53796382,0.52468208,0.51193953,0.49949767,0.48903972,0.48031278,0.47432139,0.46983996,0.4663082,0.46487674,0.46418572
