,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51
1145.528,0.86007984,0.85598794,0.85226072,0.84883956,0.84489843,0.84004915,0.83386641,0.82813629,0.82214874,0.815359,0.8076525,0.79888033,0.78960195,0.77863986,0.76743828,0.75576676,0.74375033,0.73031298,0.71526904,0.69787924,0.67934269,0.66014043,0.63807437,0.61430534,0.58783418,0.55782227,0.52571252,0.4903241,0.46204926,0.4581808,0.46614264,0.47553867,0.48404488,0.49068212,0.49733696,0.50293984,0.50781643,0.51206508,0.51489549,0.5170999,0.51822592,0.51869078,0.51830973,0.51675827,0.51559972,0.51473278,0.51466589,0.51475246,0.514266,0.51437804,0.51420512
1147.457,0.73550314,0.73237594,0.72959752,0.72710466,0.72412073,0.72042085,0.71577021,0.71155609,0.70699474,0.7016675,0.6954024,0.68837373,0.68108295,0.67241396,0.66355708,0.65459156,0.64525893,0.63511978,0.62384544,0.61093334,0.59747009,0.58359033,0.56775137,0.55102874,0.53238068,0.51133587,0.48919042,0.4649078,0.44650996,0.4466594,0.45559034,0.46538797,0.47458458,0.48193612,0.48926776,0.49564084,0.50144333,0.50656928,0.51035409,0.5136251,0.51573852,0.51724588,0.51777913,0.51699607,0.51650422,0.51620448,0.51648479,0.51691876,0.5166173,0.51699104,0.51685242
1149.385,0.61735964,0.61560754,0.61416462,0.61277316,0.61119503,0.60907005,0.60617781,0.60357059,0.60081834,0.5971432,0.5930334,0.58827673,0.58334475,0.57719596,0.57119178,0.56516916,0.55897773,0.55236528,0.54499474,0.53652774,0.52754409,0.51905683,0.50904427,0.49852024,0.48686628,0.47371887,0.46006772,0.4451137,0.43463226,0.4381899,0.44764174,0.45780657,0.46726998,0.47498912,0.48285796,0.48981734,0.49645723,0.50237578,0.50700669,0.511271,0.51416302,0.51653658,0.51793963,0.51784877,0.51777302,0.51798918,0.51880249,0.51942876,0.5194311,0.52012794,0.52016122
1151.314,0.52202364,0.52172014,0.52148932,0.52131386,0.52092963,0.52006845,0.51877491,0.51760949,0.51630334,0.514432,0.5121835,0.50947093,0.50669565,0.50306506,0.49943858,0.49613336,0.49268033,0.48904058,0.48491084,0.47989114,0.47489269,0.47041743,0.46503887,0.45936204,0.45324098,0.44611257,0.43894632,0.43103,0.42651456,0.4324429,0.44230574,0.45258757,0.46224728,0.47018512,0.47838416,0.48581294,0.49286923,0.49932938,0.50469589,0.509656,0.51328882,0.51631288,0.51831093,0.51894027,0.51936182,0.52009628,0.52111519,0.52202126,0.5222856,0.52324414,0.52358732
1153.242,0.45414604,0.45489734,0.45555732,0.45610476,0.45665193,0.45674595,0.45657271,0.45640109,0.45628634,0.4555082,0.4547306,0.45359583,0.45250025,0.45049506,0.44889038,0.44744586,0.44614823,0.44472628,0.44286894,0.44056544,0.43827079,0.43675743,0.43464817,0.43253244,0.43027098,0.42755107,0.42491682,0.4219966,0.42178886,0.4292759,0.43920524,0.44946477,0.45922688,0.46734422,0.47572336,0.48349414,0.49088653,0.49800218,0.50379409,0.5092826,0.51364422,0.51723348,0.51981123,0.52093857,0.52189302,0.52300038,0.52448069,0.52572396,0.5261639,0.52736114,0.52797462
1155.171,0.41027544,0.41155554,0.41273642,0.41374446,0.41476213,0.41529925,0.41564811,0.41607009,0.41659604,0.4166325,0.4166494,0.41642433,0.41640055,0.41565336,0.41520268,0.41509656,0.41507683,0.41507598,0.41491964,0.41429044,0.41389249,0.41444933,0.41437167,0.41477094,0.41521598,0.41544647,0.41604422,0.4165558,0.41939206,0.4278121,0.43779894,0.44790497,0.45762548,0.46577312,0.47429866,0.48219914,0.48993393,0.49732418,0.50352259,0.5094737,0.51435532,0.51845158,0.52153303,0.52320007,0.52455972,0.52605868,0.52780339,0.52944766,0.5302275,0.53180824,0.53261662
1157.099,0.38278254,0.38436464,0.38569062,0.38691766,0.38800583,0.38886605,0.38953161,0.39016479,0.39109254,0.3914699,0.392038,0.39236473,0.39298785,0.39288976,0.39323588,0.39387776,0.39474033,0.39569138,0.39659874,0.39707834,0.39790939,0.39987733,0.40125697,0.40332424,0.40567128,0.40797327,0.41076532,0.4137911,0.41860346,0.4277194,0.43753434,0.44754177,0.45715738,0.46520562,0.47388496,0.48179204,0.48968513,0.49721138,0.50368959,0.5099533,0.51513222,0.51977548,0.52306833,0.52516737,0.52690352,0.52862818,0.53088409,0.53281786,0.5338528,0.53563444,0.53688302
1159.028,0.36537994,0.36693304,0.36832232,0.36962746,0.37081343,0.37179375,0.37245431,0.37331039,0.37439854,0.3749752,0.375835,0.37652643,0.37750405,0.37792056,0.37865258,0.37990096,0.38126783,0.38284528,0.38450684,0.38575294,0.38747189,0.39033303,0.39282697,0.39610014,0.39976748,0.40357347,0.40804712,0.4129236,0.41927276,0.4288057,0.43845324,0.44831607,0.45766488,0.46556622,0.47405496,0.48199134,0.48985283,0.49759818,0.50422669,0.5108051,0.51610502,0.52100708,0.52484343,0.52724017,0.52939152,0.53147698,0.53401339,0.53627006,0.5376451,0.53975954,0.54126932
1160.956,0.35415764,0.35570454,0.35710032,0.35833616,0.35953033,0.36046205,0.36115321,0.36206649,0.36320714,0.3639202,0.3649001,0.36573393,0.36697645,0.36758196,0.36865268,0.37020216,0.37199633,0.37401278,0.37609654,0.37796614,0.38030799,0.38390043,0.38712567,0.39124744,0.39594088,0.40098527,0.40670652,0.4128707,0.42030296,0.4300615,0.43955724,0.44905837,0.45818668,0.46594982,0.47419116,0.48209634,0.48989583,0.49756558,0.50439419,0.5110406,0.51657862,0.52175938,0.52580173,0.52845587,0.53099442,0.53346198,0.53624459,0.53875826,0.5405218,0.54298444,0.54472192
1162.885,0.34637084,0.34795444,0.34926162,0.35046186,0.35160523,0.35251785,0.35325481,0.35416259,0.35537784,0.3561036,0.3571556,0.35818073,0.35952685,0.36029976,0.36155168,0.36339746,0.36535453,0.36773318,0.37019124,0.37241324,0.37519879,0.37938873,0.38325567,0.38804514,0.39349518,0.39947737,0.40615542,0.4134644,0.42178966,0.4316854,0.44091684,0.45010777,0.45898348,0.46648392,0.47457966,0.48228314,0.48990843,0.49749408,0.50428669,0.5108807,0.51660802,0.52185738,0.52614683,0.52895407,0.53173052,0.53442538,0.53751209,0.54038046,0.5424374,0.54509094,0.54719762
